,DATETIMEDATA,PM25,TEMP,WS,RH,WD,RAIN
0,2024-03-01 00:00:00,20.5,28,1,72,111,0
1,2024-03-01 01:00:00,22.7,28,1,74,108,0
2,2024-03-01 02:00:00,19.6,28,2,77,117,0
3,2024-03-01 03:00:00,15.4,27,1,78,112,0
4,2024-03-01 04:00:00,19.4,27,1,78,103,0
5,2024-03-01 05:00:00,26.0,27,1,80,98,0
6,2024-03-01 06:00:00,22.6,27,1,80,98,0
7,2024-03-01 07:00:00,19.8,28,1,76,106,0
8,2024-03-01 08:00:00,23.5,30,1,70,115,0
9,2024-03-01 09:00:00,20.4,30,1,66,127,0
10,2024-03-01 10:00:00,21.3,32,1,61,143,0
11,2024-03-01 11:00:00,16.3,33,1,54,187,0
12,2024-03-01 12:00:00,13.4,33,1,55,185,0
13,2024-03-01 13:00:00,13.5,33,1,52,187,0
14,2024-03-01 14:00:00,11.2,33,1,50,196,0
15,2024-03-01 15:00:00,14.0,33,1,51,191,0
16,2024-03-01 16:00:00,17.7,32,1,53,167,0
17,2024-03-01 17:00:00,16.7,31,1,60,172,0
18,2024-03-01 18:00:00,17.7,30,2,66,129,0
19,2024-03-01 19:00:00,21.6,29,1,69,128,0
20,2024-03-01 20:00:00,21.2,29,1,69,118,0
21,2024-03-01 21:00:00,25.7,28,1,70,122,0
22,2024-03-01 22:00:00,24.1,28,1,72,111,0
23,2024-03-01 23:00:00,27.2,28,1,73,115,0
24,2024-03-02 00:00:00,23.5,28,1,74,125,0
25,2024-03-02 01:00:00,24.2,28,1,72,137,0
26,2024-03-02 02:00:00,17.6,28,1,72,125,0
27,2024-03-02 03:00:00,15.2,28,1,74,121,0
28,2024-03-02 04:00:00,16.5,27,1,76,111,0
29,2024-03-02 05:00:00,22.6,28,1,76,117,0
30,2024-03-02 06:00:00,22.8,27,1,76,107,0
31,2024-03-02 07:00:00,21.0,28,1,76,108,0
32,2024-03-02 08:00:00,21.1,29,1,73,108,0
33,2024-03-02 09:00:00,18.6,30,1,71,116,0
34,2024-03-02 10:00:00,18.5,31,1,61,122,0
35,2024-03-02 11:00:00,23.0,32,1,57,141,0
36,2024-03-02 12:00:00,16.9,33,1,55,170,0
37,2024-03-02 13:00:00,19.5,33,1,55,172,0
38,2024-03-02 14:00:00,14.8,32,1,58,163,0
39,2024-03-02 15:00:00,12.7,31,1,60,176,0
