iter	RMSE
0	5.081897681
1	5.05915082
2	5.014602492
3	4.966584772
4	4.933134531
5	4.915209916
6	4.875879768
7	4.84064188
8	4.817294813
9	4.78652225
10	4.761601656
11	4.732073759
12	4.699295825
13	4.66756276
14	4.646588218
15	4.616339807
16	4.589371699
17	4.57640008
18	4.55219888
19	4.531607408
20	4.518721438
21	4.503057623
22	4.489681447
23	4.464812772
24	4.444570768
25	4.428249236
26	4.417849099
27	4.404070852
28	4.382651192
29	4.362332035
30	4.341581477
31	4.32824655
32	4.313807969
33	4.291566379
34	4.277749347
35	4.256702385
36	4.238360301
37	4.229690157
38	4.216652451
39	4.202056641
40	4.19055454
41	4.171299732
42	4.162958576
43	4.144357518
44	4.136859716
45	4.124887182
46	4.113802348
47	4.103358908
48	4.094148453
49	4.08024485
50	4.066088835
51	4.053377258
52	4.042954433
53	4.029048131
54	4.018657963
55	4.008284518
56	3.997250324
57	3.986554126
58	3.98057317
59	3.972982761
60	3.972002341
61	3.966770245
62	3.959376887
63	3.947229696
64	3.940241296
65	3.926953736
66	3.919189753
67	3.907107262
68	3.892993272
69	3.880172659
70	3.874750113
71	3.864530887
72	3.857396527
73	3.855610999
74	3.848406441
75	3.841854197
76	3.837136695
77	3.829822651
78	3.818992215
79	3.818723352
80	3.809608191
81	3.801235778
82	3.790334831
83	3.784406428
84	3.772804234
85	3.766697948
86	3.756382333
87	3.746225824
88	3.741029929
89	3.7356433
90	3.731083804
91	3.725035897
92	3.717072105
93	3.710315686
94	3.701162544
95	3.692048322
96	3.686548807
97	3.67930263
98	3.674837149
99	3.665086915
100	3.65584977
101	3.651051434
102	3.647536523
103	3.638231968
104	3.630056788
105	3.627154457
106	3.617318141
107	3.605951119
108	3.599046616
109	3.591333706
110	3.582787295
111	3.576390711
112	3.573518098
113	3.564235409
114	3.55869183
115	3.553751003
116	3.545869212
117	3.539882988
118	3.531679918
119	3.524487981
120	3.51843605
121	3.511569598
122	3.506591213
123	3.500830104
124	3.497846938
125	3.489852451
126	3.483286349
127	3.479007501
128	3.471854324
129	3.46618196
130	3.461836668
131	3.45274204
132	3.44559419
133	3.43929023
134	3.434066687
135	3.432268356
136	3.426522381
137	3.420863106
138	3.417178604
139	3.412126481
