iter	Passed	Remaining
0	0	987
1	1	659
2	2	770
3	3	787
4	3	792
5	4	725
6	5	735
7	5	738
8	6	740
9	7	739
10	8	745
11	9	758
12	10	774
13	11	782
14	11	782
15	12	778
16	13	773
17	13	758
18	14	763
19	15	765
20	16	759
21	17	761
22	17	760
23	18	764
24	19	765
25	20	765
26	21	769
27	22	773
28	23	781
29	24	780
30	24	776
31	25	775
32	26	776
33	27	777
34	28	782
35	29	784
36	30	786
37	30	784
38	31	782
39	32	781
40	33	779
41	34	779
42	35	782
43	36	783
44	36	779
45	37	778
46	38	778
47	39	776
48	39	774
49	40	776
50	41	779
51	42	783
52	43	782
53	44	785
54	45	783
55	46	780
56	47	782
57	48	782
58	49	783
59	49	782
60	50	774
61	51	773
62	51	772
63	52	770
64	53	773
65	54	776
66	55	777
67	56	775
68	57	775
69	58	773
70	58	771
71	59	770
72	60	769
73	61	766
74	62	766
75	62	762
76	63	760
77	64	759
78	65	758
79	65	751
80	66	750
81	67	751
82	67	750
83	68	751
84	69	750
85	70	749
86	71	749
87	72	749
88	73	750
89	74	752
90	75	750
91	75	749
92	76	747
93	77	746
94	78	744
95	79	744
96	80	745
97	80	744
98	81	744
99	82	743
100	83	742
101	84	741
102	84	739
103	85	739
104	86	740
105	87	741
106	88	741
107	89	740
108	90	739
109	91	739
110	92	742
111	93	741
112	94	744
113	95	744
114	96	742
115	97	742
116	98	742
117	99	745
118	100	745
119	101	747
120	102	746
121	103	746
122	104	745
123	105	748
124	107	752
125	108	751
126	109	752
127	110	751
128	111	753
129	112	754
130	113	755
131	114	755
132	115	754
133	116	753
134	117	756
135	119	757
136	120	757
137	121	757
138	122	757
139	123	756
